0,zero
moire,watered-silk
molar,grinder
monacan,Monegasque
monastic,monk
moneran,moneron
mongolian,Mongol
mono,infectious mononucleosis
monochrome,black and white
monoclonal,monoclonal antibody
monotone,drone
moral,lesson
mortal,person
mortuary,morgue
moslem,Muslim
motivating,motivation
motive,motivation
motley,assortment
mourning,bereavement
movable,chattel
muhammadan,Mohammedan
multinomial,polynomial
mum,florist's chrysanthemum
mural,wall painting
murmuring,mutter
musical,musical comedy
musing,contemplation
must,mustiness
mutant,mutation
mute,deaf-mute
myotic,miotic drug
myriad,ten thousand
mystic,religious mystic
naming,appointment
nappy,diaper
narrative,narration
nasal,nasal consonant
national,subject
nationalist,patriot
native,indigen
native american,Amerindian
natural,cancel
navicular,scaphoid bone
neandertal,Neandertal man
neanderthal,Neandertal man
necessary,necessity
needless,acerate leaf
negro,Black
negroid,Black
neolithic,Neolithic Age
nepali,Nepalese
net,internet
neurotic,psychoneurotic
newborn,neonate
nine,9
nineteen,19
ninety,90
ninth,one-ninth
nip and tuck,face lift
nipponese,Japanese
no,nobelium
no-account,goldbrick
noble,Lord
nominal,noun phrase
nominative,nominative case
noncompliant,balker
nonessential,inessential
nonpareil,ideal
nonpartisan,nonpartizan
nonpartizan,nonpartisan
nonprofit,nonprofit organization
nonsense,bunk
nonsteroidal,nonsteroid
nonstop,nonstop flight
nordic,Scandinavian
normal,convention
norse,Scandinavian
northeast,nor'-east
northeastward,northeast
northerly,north wind
northward,north
northwestward,northwest
notable,luminary
nouveau-riche,upstart
nude,nude painting
null,nothing
numeral,number
nutrient,food
nuts,nut
nymphomaniac,nympho
objective,aim
oblique,oblique case
occlusive,stop consonant
occult,supernatural
occurrent,happening
ocher,ochre
ochre,ocher
ocular,eyepiece
off-white,bone
offbeat,upbeat
offensive,offense
official,functionary
offsides,offside
offstage,wing
ok,Oklahoma
okay,O.K.
olive,European olive tree
omnibus,bus
oncoming,onset
one,1
one thousand,thousand
oozing,seepage
open,clear
opening,gap
operative,secret agent
opponent,opposition
opportunist,self-seeker
opposite,antonym
optative,optative mood
optic,eye
oral,oral exam
orange,orangeness
orderly,hospital attendant
ordinal,ordinal number
ordinary,ordinary bicycle
organic,organic fertilizer
original,master
oscine,oscine bird
outboard,outboard motorboat
outcast,castaway
outlaw,criminal
outside,exterior
oval,ellipse
overall,boilersuit
overcast,cloudiness
overhead,operating expense
overmuch,overabundance
overweight,corpulence
pacifist,pacificist
pagan,heathen
palaeolithic,Paleolithic Age
palatine,palsgrave
pale,picket
paleolithic,Paleolithic Age
palliative,alleviant
pampering,indulgence
panegyric,encomium
paperback,paperback book
parallel,analogue
paramedical,paramedic
paramilitary,paramilitary force
paranoid,paranoiac
parasympathetic,parasympathetic nervous system
parenthetical,parenthetical expression
partial,partial derivative
participial,participle
particular,specific
particulate,particulate matter
partisan,zealot
partizan,enthusiast
parvenu,upstart
pass,base on balls
passerine,passeriform bird
passing,pass
passive,passive voice
past,past times
pastoral,pastorale
pat,rap
patent,patent of invention
patient,affected role
patrician,aristocrat
patronymic,patronym
payable,account payable
paying attention,attentiveness
peacekeeping,peacekeeping mission
peanut,peanut vine
pearly,chopper
pectoral,pectoral muscle
pedal,pedal point
pedestrian,walker
pedigree,lineage
pelecypod,bivalve
pendant,pendent
pendent,pendant
penitentiary,pen
penny-pinching,parsimony
penultimate,penult
percipient,perceiver
peregrine,peregrine falcon
perfect,perfective
peripatetic,Aristotelian
peripheral,computer peripheral
perishable,spoilable
permanent,permanent wave
perpendicular,perpendicular style
persian,Irani
pet,darling
petty,petit larceny
phantom,apparition
pharmaceutic,pharmaceutical
pharmaceutical,pharmaceutic
pharyngeal,guttural
philharmonic,symphony orchestra
philhellene,philhellenist
philistine,anti-intellectual
phoney,hypocrite
phony,hypocrite
pianissimo,piano
piano,pianoforte
piggy,piglet
pink,garden pink
pituitary,pituitary gland
placental,placental mammal
plain,field
plane,airplane
plantigrade,plantigrade mammal
plastic,credit card
platyrrhine,New World monkey
platyrrhinian,New World monkey
plebeian,pleb
plodding,drudgery
plumb,plumb bob
plundering,pillage
pluperfect,past perfect
plural,plural form
plus,asset
pneumogastric,vagus
pokey,jail
poky,jail
polemic,polemicist
polish,gloss
poltroon,craven
polyglot,linguist
polynomial,multinomial
poor,poor people
pop,dad
port,port wine
positioning,placement
positive,positive degree
positivist,rationalist
possessive,genitive
postdoctoral,postdoc
posterior,buttocks
postgraduate,graduate student
postmortem,post-mortem
potable,beverage
potential,potentiality
potty,toilet
praetorian,Praetorian Guard
pragmatic,pragmatic sanction
precedent,case in point
predestinarian,fatalist
preliminary,prelim
premier,Prime Minister
premium,insurance premium
prerequisite,requirement
prescription,prescription drug
present,nowadays
pressing,press
pressor,vasoconstrictor
preteen,preteenager
pretend,make-believe
preventative,preventive
preventive,preventative
primary,primary election
prime,prime quantity
primitive,primitive person
principal,school principal
private,buck private
privy,toilet
prize,award
pro,professional
processional,prosodion
prodigal,profligate
professional,professional person
profligate,rake
prognostic,omen
progressive,progressive tense
projectile,missile
proletarian,prole
prompt,prompting
pronominal,pronominal phrase
proof,cogent evidence
propaedeutic,propaedeutics
propellant,propellent
propellent,propellant
prophylactic,preventive
proprietary,proprietorship
prostate,prostate gland
protozoan,protozoon
provincial,peasant
prying,nosiness
pseudo,imposter
psychoneurotic,neurotic
psychotic,psychotic person
public,populace
puff,puff of air
punk,hood
pureblood,thoroughbred
purebred,thoroughbred
purgative,cathartic
purging,purge
purple,purpleness
purplish-red,purplish red
pursued,chased
pussy,cunt
pyrectic,pyrogen
pyrotechnic,firework
pyrrhic,dibrach
quadratic,quadratic equation
quadrilateral,quadrangle
quadrillionth,one-quadrillionth
quadruple,quartet
quality,caliber
quechuan,Quechua
queer,fagot
questioning,inquiring
quicksilver,mercury
quiet,lull
quincentenary,quincentennial
quincentennial,quincentenary
quintillionth,one-quintillionth
quintuple,quintet
racist,racialist
radial,radial tire
radical,group
radio,radiocommunication
raising,elevation
rallying,rally
rank,rank and file
rash,roseola
rasping,rasp
rational,rational number
rationalist,positivist
rattling,rattle
ravaging,devastation
raw,altogether
razorback,razorback hog
reactionary,ultraconservative
real,real number
rear,backside
rearing,raising
reasoning,logical thinking
receding,fadeout
recent,Holocene
recessional,recession
recessive,recessive allele
reciprocal,multiplicative inverse
recluse,hermit
recreant,poltroon
recusant,nonconformist
red,redness
reflex,reflex response
reflexive,reflexive pronoun
reformatory,reform school
reformist,reformer
refractory,furnace lining
regent,trustee
regular,habitue
regulation,ordinance
rejoicing,exultation
relative,relation
remote,remote control
renegade,deserter
rental,lease
repellant,repellent
repellent,repellant
representative,spokesperson
reprobate,miscreant
reptilian,reptile
requisite,necessity
resident,occupant
residual,remainder
respondent,responder
restorative,tonic
resultant,end point
retarded,mentally retarded
retinal,retinene
revealing,disclosure
reverend,clergyman
reverse,contrary
reverting,backsliding
revolutionary,revolutionist
rhenish,Rhine wine
rhomboid,rhomboid muscle
rich,rich people
right,right field
rightist,right-winger
rising,rise
ritual,rite
roaring,boom
roast,joint
rolling,peal
roly-poly,fatso
romance,love affair
romani,Gypsy
romantic,romanticist
romanticist,sentimentalist
romany,Gypsy
roomy,roommate
rose,rosebush
rotary,traffic circle
rough-and-tumble,hassle
round,unit of ammunition
roundabout,traffic circle
rousing,arousal
routine,modus operandi
roving,wandering
rowdy,bully
royal,royal stag
rubber,natural rubber
ruby,crimson
ruling,opinion
rum,rummy
rumanian,Romanian
rumansh,Romansh
rumbling,rumble
rummy,drunkard
runaway,blowout
running,run
rush,haste
rust,rusting
rustless,rustle
rustling,rustle
sabbatical,sabbatical leave
sable,sable brush
safe,condom
sage,salvia
salientian,frog
saline,saline solution
salt,table salt
salvadorean,Salvadoran
same,Lapp
sapphire,azure
satellite,artificial satellite
savage,barbarian
saving,economy
savory,Micromeria juliana
savoury,savory
scanty,pantie
scapular,scapulary
scarlet,vermilion
schematic,schematic drawing
schizoid,schizotypal personality
scholastic,pedant
scotch,score
scots,Scottish
screaming,scream
screwball,crackpot
